class,yolov8s,yolov9s,yolov10s,yolov11s,yolov12s,yolov11s_aug9,yolov11s_aug10,yolov11s_aug11,yolov9_aug10v4,yolov9s_aug10v4_11,yolov9s_aug10v2_11v2
all,0.218,0.226,0.219,0.209,0.201,0.299,0.31,0.296,0.314,0.32,0.304
bike,0.277,0.334,0.313,0.297,0.312,0.347,0.333,0.338,0.363,0.38,0.364
bus,0.393,0.393,0.346,0.379,0.21,0.46,0.484,0.491,0.463,0.511,0.483
car,0.588,0.597,0.596,0.586,0.626,0.632,0.634,0.631,0.618,0.637,0.624
hydrant,0.257,0.245,0.236,0.178,0.169,0.204,0.207,0.223,0.267,0.26,0.286
light,0.0375,0.0423,0.0295,0.0323,0.0252,0.304,0.301,0.309,0.285,0.31,0.297
motor,0.394,0.421,0.327,0.346,0.431,0.364,0.381,0.384,0.396,0.458,0.409
other vehicle,0.00984,0.0228,0.0238,0.0173,0.0135,0.0454,0.0659,0.0679,0.0756,0.0966,0.0785
person,0.429,0.423,0.427,0.438,0.477,0.481,0.485,0.476,0.461,0.485,0.467
sign,0.233,0.225,0.158,0.232,0.144,0.363,0.36,0.363,0.336,0.379,0.359
skateboard,0.0,0.0,0.0,0.0,0.0,0.2,0.267,0.12,0.309,0.142,0.175
stroller,0.0,0.0047,0.171,0.0,0.0,0.0241,0.0175,0.0118,0,0.0105,0.00732
truck,0.0015,0.00158,0.000513,0.00161,0.00334,0.157,0.182,0.141,0.199,0.175,0.297
