class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.437,0.302,0.331,0.209
person,819,4470,0.507,0.791,0.753,0.438
bike,135,170,0.396,0.535,0.466,0.297
car,1047,7128,0.513,0.842,0.823,0.586
motor,47,55,0.206,0.727,0.586,0.346
bus,126,179,0.965,0.156,0.523,0.379
truck,42,46,0.0013,0.0435,0.00238,0.00161
light,439,2002,0.121,0.222,0.0783,0.0323
hydrant,93,94,0.667,0.213,0.317,0.178
sign,848,2472,0.863,0.097,0.394,0.232
skateboard,3,3,0,0,0,0
stroller,6,6,1,0,0,0
other vehicle,53,63,0,0,0.0323,0.0173
