class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.75,0.414,0.501,0.31
person,819,4470,0.83,0.701,0.805,0.485
bike,135,170,0.626,0.512,0.531,0.333
car,1047,7128,0.861,0.783,0.864,0.634
motor,47,55,0.824,0.655,0.719,0.381
bus,126,179,0.798,0.52,0.668,0.484
truck,42,46,0.381,0.391,0.254,0.182
light,439,2002,0.817,0.509,0.618,0.301
hydrant,93,94,0.758,0.234,0.361,0.207
sign,848,2472,0.752,0.459,0.57,0.36
skateboard,3,3,1,0,0.446,0.267
stroller,6,6,1,0,0.0195,0.0175
other vehicle,53,63,0.351,0.206,0.156,0.0659
