class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.714,0.417,0.486,0.304
person,819,4470,0.805,0.707,0.79,0.467
bike,135,170,0.643,0.571,0.577,0.364
car,1047,7128,0.826,0.792,0.86,0.624
motor,47,55,0.788,0.607,0.712,0.409
bus,126,179,0.747,0.542,0.661,0.483
truck,42,46,0.205,0.283,0.166,0.099
light,439,2002,0.797,0.542,0.616,0.297
hydrant,93,94,0.778,0.319,0.502,0.286
sign,848,2472,0.706,0.515,0.579,0.359
skateboard,3,3,1,0,0.25,0.175
stroller,6,6,1,0,0.0105,0.00732
other vehicle,53,63,0.276,0.127,0.115,0.0785
