class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.7,0.434,0.522,0.314
person,819,4470,0.779,0.722,0.788,0.461
bike,135,170,0.516,0.576,0.576,0.363
car,1047,7128,0.799,0.805,0.855,0.618
motor,47,55,0.789,0.618,0.689,0.396
bus,126,179,0.673,0.598,0.66,0.463
truck,42,46,0.338,0.326,0.292,0.199
light,439,2002,0.771,0.524,0.602,0.285
hydrant,93,94,0.771,0.351,0.507,0.267
sign,848,2472,0.699,0.487,0.557,0.336
skateboard,3,3,1,0,0.584,0.309
stroller,6,6,1,0,0,0
other vehicle,53,63,0.259,0.206,0.159,0.0756
