class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.743,0.446,0.512,0.32
person,819,4470,0.836,0.7,0.799,0.485
bike,135,170,0.617,0.576,0.593,0.38
car,1047,7128,0.856,0.797,0.871,0.637
motor,47,55,0.82,0.747,0.818,0.458
bus,126,179,0.791,0.603,0.706,0.511
truck,42,46,0.291,0.326,0.261,0.175
light,439,2002,0.825,0.566,0.645,0.31
hydrant,93,94,0.777,0.333,0.472,0.26
sign,848,2472,0.754,0.523,0.61,0.379
skateboard,3,3,1,0,0.178,0.142
stroller,6,6,1,0,0.0366,0.0105
other vehicle,53,63,0.344,0.175,0.157,0.0966
